model,instance,solver,seed,run_status,run_time,energy
sudoku_opt,sudoku_p20,yuck,,ERR,1200.3021,85730.07
nfc,12_2_11,ortools,,SOLVED,0.1126,7.23
yumi-static,example_instance_4_GS_SG_yumi_grid_setup_7_7,picat,,ERR,1.13265,71.21000000000001
yumi-static,p_10_GGGGG_GGGGG_yumi_grid_setup_5_5,ortools,,ERR,1200.342653,70854.98
gfd-schedule2,n180f7d50m30k18_10124,ortools,,ERR,1200.4929,84364.73000000001
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,picat,,ERR,0.7162,49.63
spot5,509,picat,,SOLVED,10.685,743.26
wordpress,Wordpress12_Offers500,ortools,,ERR,1200.12985,70025.43
model,4108_with_1_2_2_3_3_5_6_6_7_8_9,ortools,,ERR,1200.2394,85350.25
gfd-schedule2,n200f5d50m40k6_10124,ortools,,ERR,1200.5799,84213.1
wordpress,Wordpress8_Offers500,picat,,ERR,0.150886,9.19
gfd-schedule2,n85f3d50m8k20_10124,picat,,ERR,0.5284,41.78
mapf,ins_g16_p10_a30,picat,,ERR,148.4,9991.43
model,910_with_1_2_3_6_12_25_50_87,picat,,ERR,0.6743,42.25
spot5,509,ortools,,ERR,1200.27248,84411.24
mapf,ins_g24_p20_a10,ortools,,ERR,1210.534,83897.01999999999
model,data1_6_6,ortools,,SOLVED,8.994,647.7
mapf,ins_g32_p20_a10,ortools,,ERR,1227.37,84555.23000000001
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,picat,,ERR,0.75998,52.68000000000001
ttppv,circ14enonbal,ortools,,ERR,1200.176177,83965.01
sudoku_opt,sudoku_p23,yuck,,ERR,1200.31059,85609.84
mapf,ins_g16_p10_a20,yuck,,ERR,1207.4558,84747.98000000001
mapf,ins_g16_p20_a30,yuck,,ERR,456.42,32169.35
ttppv,circ20bnonbal,picat,,ERR,0.59682,41.94
yumi-static,example_instance_4_GS_SG_yumi_grid_setup_7_7,ortools,,ERR,1200.1533,71055.64
spot5,404,picat,,SOLVED,0.5456,39.33
mapf,ins_g16_p10_a30,yuck,,ERR,1210.673,85620.12
mapf,ins_g16_p20_a30,picat,,ERR,172.864,11794.47
model,814_with_1_2_4_6_6_7_8_9,yuck,,ERR,1200.3516,84466.46
gfd-schedule2,n55f2d50m30k3_10124,ortools,,SOLVED,3.2192,229.17000000000002
ttppv,circ14cnonbal,picat,,ERR,0.368884,25.85
wordpress,Wordpress10_Offers500,picat,,ERR,0.1717591,12.25
model,4108_with_1_2_2_3_3_5_6_6_7_8_9,yuck,,ERR,1200.40436,84530.48999999999
ttppv,circ20bnonbal,ortools,,ERR,1200.23497,81172.76999999999
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,ERR,1200.2569,85542.81
triangular,n24,ortools,,ERR,1200.24278,85583.05
gfd-schedule2,n55f2d50m30k3_10124,picat,,ERR,0.4963,32.620000000000005
model,data2_6_15,ortools,,ERR,1200.16429,84837.97
ttppv,circ20fnonbal,picat,,ERR,0.59677,42.269999999999996
dcmst,s_v40_a100_d7,picat,,ERR,0.4117,28.6
spot5,404,ortools,,ERR,1200.1353958,85874.08
model,data1_4_6,picat,,SOLVED,27.2991,1953.97
model,data1_6_6,picat,,SOLVED,59.4854,4268.66
wordpress,Wordpress7_Offers500,picat,,ERR,0.136905,8.28
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,yuck,,ERR,2.0291,138.04
triangular,n10,ortools,,SOLVED,154.255,10982.669999999998
accap,accap_a5_f40_t20,ortools,,ERR,1200.165,86201.85
accap,accap_a4_f30_t15,picat,,SOLVED,602.22,41718.01
triangular,n10,picat,,SOLVED,53.0004,3738.16
spot5,1405,picat,,SOLVED,822.44,57395.45
model,data3_5_31,ortools,,ERR,1200.243093,84396.51
ttppv,circ20jnonbal,picat,,ERR,0.598436,42.15
ttppv,circ20jnonbal,yuck,,ERR,1200.3819,82554.56
yumi-static,p_8_SSSSS_SSS_yumi_grid_setup_3_4,ortools,,ERR,1200.28694,71459.75
triangular,n18,ortools,,ERR,1200.164217,85617.41
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,87.156,5260.01
ttppv,circ14enonbal,picat,,ERR,0.37279,26.5
ttppv,circ14cnonbal,yuck,,ERR,1200.33838,83146.45000000001
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,247.978,17664.22
dcmst,c_v15_a105_d9,picat,,ERR,0.465,34.22
dcmst,c_v20_a190_d9,picat,,ERR,0.6726,51.370000000000005
nfc,12_2_11,picat,,SOLVED,2.1949,160.01999999999998
model,4108_with_1_2_2_3_3_5_6_6_7_8_9,picat,,ERR,0.6842,53.42
mapf,ins_g24_p20_a10,yuck,,ERR,1210.7619,86092.66
wordpress,Wordpress11_Offers500,ortools,,ERR,1200.142455,81863.73999999999
tower,tower_070_070_15_070-09,ortools,,ERR,1200.196079,83680.63
