model,instance,solver,seed,run_status,run_time,energy
ttppv,circ20fnonbal,gecode,,UNK,1200.111564779,31576.88
blocks,16-4-83,gecode,,ERR,0.031607009,0.8700000000000001
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.289614999,7.31
stripboard,opamp-integrator,ortools,,ERR,0.032697757,0.8500000000000001
stripboard,common-emitter-complex,ortools,,ERR,0.032773479,0.8700000000000001
stripboard,common-emitter-complex,gecode,,ERR,0.031793417,0.8700000000000001
bool-model-sickness,large-2,ortools,,ERR,0.034172698,0.8200000000000001
ttppv,circ14cnonbal,picat,,ERR,0.283172421,7.58
blocks,16-4-45,gecode,,ERR,0.031632077,0.8300000000000001
tower,tower_070_070_15_070-09,picat,,SOLVED,643.92490546,15659.16
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,7.103896431,391.25
triangular,n24,ortools,,UNK,1200.20463984,90524.72
model,data2_6_15,ortools,,SOLVED,0.500017246,21.71
mapf,ins_g16_p20_a30,gecode,,UNK,1208.359052811,47055.43
vaccine,v7,ortools,,ERR,0.034625064,0.8700000000000001
peaceable_queens,n25_q4,picat,,ERR,0.036105498,0.9500000000000001
blocks,16-4-45,ortools,,ERR,0.032338551,0.8700000000000001
bool-model-sickness,large-2,picat,,ERR,0.034168652,0.8200000000000001
ttppv,circ20fnonbal,picat,,ERR,0.449069025,11.52
dcmst,s_v40_a100_d7,picat,,ERR,0.20922365,5.58
ttppv,circ14cnonbal,gecode,,UNK,1200.063597044,77930.05
wordpress,Wordpress7_Offers500,picat,,ERR,0.114017256,3.08
stripboard,opamp-integrator,gecode,,ERR,0.032752158,0.8200000000000001
stripboard,opamp-integrator,picat,,ERR,0.032382929,0.8200000000000001
accap,accap_a4_f30_t15,picat,,SOLVED,271.700961674,7156.1
model,data3_5_31,ortools,,SOLVED,9.033653341,650.87
ttppv,circ20jnonbal,picat,,ERR,0.441068593,11.88
stripboard,common-emitter-simple,ortools,,ERR,0.032220486,0.8800000000000001
triangular,n18,ortools,,UNK,1200.149713113,89183.79000000001
blocks,16-4-40,ortools,,ERR,0.032326169,0.8200000000000001
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,1.404562859,71.94
vaccine,v7,picat,,ERR,0.034406543,0.8700000000000001
bool-model-sickness,large-2-2,picat,,ERR,0.031993606,0.8700000000000001
blocks,16-4-40,gecode,,ERR,0.032842986,0.8500000000000001
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,1.89513278,75.19
dcmst,c_v15_a105_d9,picat,,ERR,0.191021172,5.27
dcmst,c_v20_a190_d9,picat,,ERR,0.345830708,9.55
tower,100_100_20_100-04,picat,,SOLVED,1185.045336734,28108.21
vaccine,v8,picat,,ERR,0.034784397,0.8700000000000001
stripboard,common-emitter-simple,gecode,,ERR,0.031586533,0.8700000000000001
nfc,12_2_11,picat,,SOLVED,1.544157216,38.15
tower,tower_070_070_15_070-09,ortools,,SOLVED,7.032378074,431.03
blocks,16-4-83,picat,,ERR,0.032172866,0.8700000000000001
