model,instance,solver,seed,run_status,run_time,energy
model,6872_with_1_2_3_3_4_4_5_6_7_9_10,gecode,,ERR,0.299318,7.674908
stripboard,opamp-integrator,ortools,,ERR,0.042777,1.074034
stripboard,common-emitter-complex,ortools,,ERR,0.042014,1.08569
stripboard,common-emitter-complex,gecode,,ERR,0.041967,1.103208
bool-model-sickness,large-2,ortools,,ERR,0.042579,1.031553
ttppv,circ14cnonbal,picat,,ERR,0.291113,7.678509
blocks,16-4-45,gecode,,ERR,0.041403,1.128172
tower,tower_070_070_15_070-09,picat,,SOLVED,639.183362,15526.966233
model,8657_with_1_1_2_3_4_4_5_5_8_9_50,ortools,,SOLVED,8.501117,496.961374
triangular,n24,ortools,,UNK,1200.218236,89982.462883
model,data2_6_15,ortools,,SOLVED,0.512284,22.070194
vaccine,v7,ortools,,ERR,0.044891,1.140439
peaceable_queens,n25_q4,picat,,ERR,0.045828,1.170407
blocks,16-4-45,ortools,,ERR,0.04216,1.122068
bool-model-sickness,large-2,picat,,ERR,0.042421,1.054014
ttppv,circ20fnonbal,picat,,ERR,0.456792,11.876556
dcmst,s_v40_a100_d7,picat,,ERR,0.218349,5.867478
ttppv,circ14cnonbal,gecode,,UNK,1200.06967,82217.625032
wordpress,Wordpress7_Offers500,picat,,ERR,0.123858,3.37371
stripboard,opamp-integrator,gecode,,ERR,0.04193,1.069149
stripboard,opamp-integrator,picat,,ERR,0.042711,1.083616
accap,accap_a4_f30_t15,picat,,SOLVED,271.80137,7131.133781
model,data3_5_31,ortools,,SOLVED,8.941906,643.570862
ttppv,circ20jnonbal,picat,,ERR,0.453382,12.211334
stripboard,common-emitter-simple,ortools,,ERR,0.042114,1.134823
triangular,n18,ortools,,UNK,1200.155197,90331.730969
blocks,16-4-40,ortools,,ERR,0.042355,1.073789
yumi-static,p_4_GG_GG_yumi_grid_setup_3_3,ortools,,SOLVED,1.515775,79.629618
vaccine,v7,picat,,ERR,0.044399,1.130124
bool-model-sickness,large-2-2,picat,,ERR,0.042194,1.126646
blocks,16-4-40,gecode,,ERR,0.041838,1.04907
model,814_with_1_2_4_6_6_7_8_9,ortools,,SOLVED,1.854049,72.365477
dcmst,c_v15_a105_d9,picat,,ERR,0.203789,5.532579
dcmst,c_v20_a190_d9,picat,,ERR,0.354317,9.764623
tower,100_100_20_100-04,picat,,SOLVED,1165.071055,28005.747031
vaccine,v8,picat,,ERR,0.044699,1.134153
stripboard,common-emitter-simple,gecode,,ERR,0.041757,1.120663
nfc,12_2_11,picat,,SOLVED,1.560827,38.337792
tower,tower_070_070_15_070-09,ortools,,SOLVED,6.852404,417.048188
blocks,16-4-83,picat,,ERR,0.041543,1.124327
